Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,NewClaimAmount,NewCloseAmount,Amount Differences
2006122617914,2006-12-19 00:00:00,2006-12-03 00:00:00,LGB,Long Beach,USAir,Passenger Property Loss,Checked Baggage,Cell Phones,$250.00 ,Denied,$0.00 ,Deny,16.0,250.0,0.0,250.0
2009012354803,2009-01-13 00:00:00,2009-01-01 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Locks; Luggage (all types including footlockers); Other,$65.00 ,Denied,$0.00 ,Deny,12.0,65.0,0.0,65.0
2008040441900,2008-03-26 00:00:00,2008-03-14 00:00:00,SJC,Norman Y Mineta San Jose International,Southwest Airlines,Property Damage,Checked Baggage,Cameras - Digital,$149.99 ,Denied,$0.00 ,Deny,12.0,149.99,0.0,149.99
2004091663103,2004-09-01 00:00:00,2004-07-08 00:00:00,ONT,Ontario International,Southwest Airlines,Passenger Theft,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,$50.00 ,Approved,$50.00 ,Approve in Full,55.0,50.0,50.0,0.0
2004060754997,2004-05-04 00:00:00,2004-04-26 00:00:00,CMH,Port Columbus International,Southwest Airlines,Property Damage,Checked Baggage,Cameras - Digital,$200.00 ,Settled,$100.00 ,Settle,8.0,200.0,100.0,100.0
2006091812699,2006-09-11 00:00:00,2006-08-12 00:00:00,SAV,Savannah International,Continental Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,$414.43 ,Settled,$103.61 ,Settle,30.0,414.43,103.61,310.82
2007112835596,2007-11-26 00:00:00,2007-11-10 00:00:00,GRB,Austin Straubel International,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,$2;715.00 ,Denied,$0.00 ,Deny,16.0,2715.0,0.0,2715.0
2006010698959,2005-01-02 00:00:00,2005-12-24 00:00:00,LAS,McCarran International,Mexicana,Passenger Property Loss,Checked Baggage,Other,$273.87 ,Denied,$0.00 ,Deny,-356.0,273.87,0.0,273.87
2008040942183,2008-04-01 00:00:00,2007-12-11 00:00:00,PHL,Philadelphia International Airport,UAL,Passenger Property Loss,Checked Baggage,Bedding - Other pillows,$300.00 ,Denied,$0.00 ,Deny,112.0,300.0,0.0,300.0
2004091062579,2004-08-26 00:00:00,2004-08-16 00:00:00,BDL,Bradley International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),$459.00 ,Approved,$459.00 ,Approve in Full,10.0,459.0,459.0,0.0
2005022876863,2005-02-01 00:00:00,2004-12-22 00:00:00,DEN,Denver International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Other,$358.59 ,Settled,$179.00 ,Settle,41.0,358.59,179.0,179.58999999999997
2004051351893,2004-04-01 00:00:00,2004-03-08 00:00:00,PIT,Pittsburgh International Airport,UAL,Passenger Property Loss,Checked Baggage,Other,$40.00 ,Denied,$0.00 ,Deny,24.0,40.0,0.0,40.0
2007041323972,2007-04-09 00:00:00,2007-01-11 00:00:00,SAN,San Diego International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Stereo Items & Accessories,$322.17 ,Denied,$0.00 ,Deny,88.0,322.17,0.0,322.17
2008040741971,2008-03-27 00:00:00,2008-03-22 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Air Tran Airlines(do not use),Passenger Property Loss,Checkpoint,Cameras - Digital; Eyeglasses - (including contact lenses),$1;027.58 ,Denied,$0.00 ,Deny,5.0,1027.58,0.0,1027.58
2009102164579,2009-10-13 00:00:00,2009-09-25 20:30:00,PIT,Pittsburgh International Airport,USA 3000 (U5),Passenger Property Loss,Checked Baggage,Jewelry - Costume,$307.25 ,Denied,$0.00 ,Deny,17.0,307.25,0.0,307.25
2006120116566,2006-11-24 00:00:00,2006-09-26 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checked Baggage,Locks; Luggage (all types including footlockers),$29.71 ,Approved,$29.71 ,Approve in Full,59.0,29.71,29.71,0.0
2005081790765,2005-08-08 00:00:00,2005-07-26 00:00:00,DEN,Denver International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,$310.00 ,Denied,$0.00 ,Deny,13.0,310.0,0.0,310.0
2005020175282,2005-01-19 00:00:00,2004-12-03 00:00:00,EWR,Newark International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Locks,$13.00 ,Approved,$13.00 ,Approve in Full,47.0,13.0,13.0,0.0
2005042883554,2004-04-27 00:00:00,2005-04-04 00:00:00,SNA,John Wayne,Southwest Airlines,Passenger Property Loss,Checked Baggage,PDA - Personal Data Assistants,$403.92 ,Denied,$0.00 ,Deny,-342.0,403.92,0.0,403.92
2006020200820,2006-01-27 00:00:00,2006-01-15 00:00:00,LAS,McCarran International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,$335.44 ,Denied,$0.00 ,Deny,12.0,335.44,0.0,335.44
1107379M,2003-11-07 00:00:00,2003-10-14 00:00:00,MCO,Orlando International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,$2;260.87 ,Settled,$1;373.16 ,Settle,24.0,2260.87,1373.16,887.7099999999998
2004122270496,2004-11-15 00:00:00,2004-11-08 00:00:00,LAS,McCarran International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,$400.00 ,Settled,$70.06 ,Settle,7.0,400.0,70.06,329.94
2006061508078,2006-06-14 00:00:00,2006-05-25 00:00:00,TPA,Tampa International,American Airlines,Property Damage,Checked Baggage,Other,$60.00 ,Settled,$50.00 ,Settle,20.0,60.0,50.0,10.0
2009010754193,2009-01-01 00:00:00,2008-12-15 00:00:00,ALB,Albany International,USAir,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,$185.00 ,Approved,$185.00 ,Approve in Full,17.0,185.0,185.0,0.0
2009060959961,2009-06-04 00:00:00,2009-03-22 00:00:00,COS,Colorado Springs Municipal,Delta Air Lines,Passenger Property Loss,Checkpoint,Other,$65.00 ,Denied,$0.00 ,Deny,74.0,65.0,0.0,65.0
2007031422273,2007-03-12 00:00:00,2007-01-10 00:00:00,FNT,Bishop International; Flint,American Airlines,Property Damage,Checked Baggage,Computer - Laptop; Other,$2;400.00 ,Denied,$0.00 ,Deny,61.0,2400.0,0.0,2400.0
2005122298245,2005-12-15 00:00:00,2005-10-30 00:00:00,TPA,Tampa International,UAL,Passenger Property Loss,Checked Baggage,Other,$100.00 ,Approved,$100.00 ,Approve in Full,46.0,100.0,100.0,0.0
2008011137764,2008-01-07 00:00:00,2007-12-28 00:00:00,F,Foreign airport,Air Canada,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies (footballs; parachutes; etc.),$14.95 ,Denied,$0.00 ,Deny,10.0,14.95,0.0,14.95
2004122169786,2004-11-04 00:00:00,2004-04-18 00:00:00,DEN,Denver International Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),$82.00 ,Approved,$82.00 ,Approve in Full,200.0,82.0,82.0,0.0
1002124M,2003-10-02 00:00:00,2003-09-19 00:00:00,BHM,Birmingham International Airport,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),$150.00 ,Settled,$50.00 ,Settle,13.0,150.0,50.0,100.0
2005081090322,2005-08-02 00:00:00,2005-06-25 00:00:00,DEN,Denver International Airport,UAL,Passenger Property Loss,Checked Baggage,Other,$237.13 ,Approved,$237.13 ,Approve in Full,38.0,237.13,237.13,0.0
0813138M,2003-08-13 00:00:00,2003-07-11 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,$79.00 ,Settled,$34.50 ,Settle,33.0,79.0,34.5,44.5
2005031478105,2005-03-09 00:00:00,2005-01-19 00:00:00,MKE,General Mitchell International Airport,Midwest Express Airlines,Property Damage,Checkpoint,Computer - Laptop,$1;199.00 ,Denied,$0.00 ,Deny,49.0,1199.0,0.0,1199.0
2005082291135,2005-08-15 00:00:00,2005-07-01 00:00:00,BOS,Boston (Logan) International Airport,UAL,Passenger Property Loss,Checked Baggage,Cameras - Digital,$594.00 ,Denied,$0.00 ,Deny,45.0,594.0,0.0,594.0
2005082691630,2005-08-23 00:00:00,2004-06-24 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,$86.40 ,Approved,$86.40 ,Approve in Full,425.0,86.4,86.4,0.0
2005012574192,2005-01-04 00:00:00,2004-12-23 00:00:00,SJU,Luis Munoz Marin International,American Airlines,Property Damage,Checked Baggage,Other,$150.00 ,Denied,$0.00 ,Deny,12.0,150.0,0.0,150.0
2005083091872,2005-08-24 00:00:00,2005-07-25 00:00:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),$8.33 ,Denied,$0.00 ,Deny,30.0,8.33,0.0,8.33
2008051544332,2008-05-13 00:00:00,2008-04-05 00:00:00,MHT,Manchester Regional Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,DVD/CD Players; Luggage (all types including footlockers); Other,$400.45 ,Denied,$0.00 ,Deny,38.0,400.45,0.0,400.45
2006070709116,2006-07-06 00:00:00,2006-06-16 00:00:00,TPA,Tampa International,Southwest Airlines,Passenger Property Loss,Checked Baggage,MP3 Players-(iPods; etc),$308.84 ,Denied,$0.00 ,Deny,20.0,308.84,0.0,308.84
2007061126679,2007-06-06 00:00:00,2007-04-15 00:00:00,MDW,Midway International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cards - Playing; Clocks - Inexpensive ($75.00 or less),$28.23 ,Denied,$0.00 ,Deny,52.0,28.23,0.0,28.23
2008030340348,2008-02-25 00:00:00,2008-02-16 00:00:00,JFK,John F. Kennedy International,UAL,Passenger Property Loss,Checked Baggage,Cell Phones,$1;000.00 ,Denied,$0.00 ,Deny,9.0,1000.0,0.0,1000.0
2005122198234,2005-12-15 00:00:00,2005-11-29 00:00:00,EWR,Newark International Airport,British Airways,Passenger Property Loss,Checked Baggage,Other,$89.00 ,Approved,$89.00 ,Approve in Full,16.0,89.0,89.0,0.0
2006121116896,2006-12-04 00:00:00,2006-11-01 00:00:00,BOS,Boston (Logan) International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital; Cameras - Non-electronic (Camera supplies; lenses; projectors; etc.),$750.00 ,Denied,$0.00 ,Deny,33.0,750.0,0.0,750.0
2006042805435,2006-04-24 00:00:00,2006-03-22 00:00:00,GEG,Spokane International,Delta Air Lines,Property Damage,Checked Baggage,Fish/Game,$171.45 ,Denied,$0.00 ,Deny,33.0,171.45,0.0,171.45
2006110815363,2006-11-03 00:00:00,2006-08-27 00:00:00,MKE,General Mitchell International Airport,Air Tran Airlines(do not use),Property Damage,Checked Baggage,Other,$5.62 ,Denied,$0.00 ,Deny,68.0,5.62,0.0,5.62
2007082931047,2007-08-24 00:00:00,2007-06-13 00:00:00,BNA,Nashville International,Frontier Airlines,Property Damage,Checked Baggage,Linens - Quilts; Comforters,$300.00 ,Approved,$300.00 ,Approve in Full,72.0,300.0,300.0,0.0
2004092263357,2004-09-22 00:00:00,2004-08-04 00:00:00,EWR,Newark International Airport,American Airlines,Passenger Theft,Checked Baggage,Other,$18.43 ,Approved,$18.43 ,Approve in Full,49.0,18.43,18.43,0.0
2005022376698,2005-01-08 00:00:00,2004-12-22 00:00:00,BUF,Buffalo Niagara International,Air Tran Airlines(do not use),Passenger Property Loss,Checkpoint,Other,$10.57 ,Approved,$10.57 ,Approve in Full,17.0,10.57,10.57,0.0
1030112M,2003-10-30 00:00:00,2003-10-15 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),$100.00 ,Settled,$33.00 ,Settle,15.0,100.0,33.0,67.0
2007010818456,2006-12-27 00:00:00,2006-12-13 00:00:00,HOU,William P. Hobby,Southwest Airlines,Passenger Property Loss,Checked Baggage,MP3 Players-(iPods; etc); Stereo Items & Accessories,$594.95 ,Denied,$0.00 ,Deny,14.0,594.95,0.0,594.95
2007082830963,2007-08-23 00:00:00,2007-08-22 00:00:00,MCO,Orlando International Airport,USAir,Passenger Property Loss,Checked Baggage,Computer - Laptop,$1;700.00 ,Denied,$0.00 ,Deny,1.0,1700.0,0.0,1700.0
2005021776469,2005-01-24 00:00:00,2004-12-22 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Locks,$100.00 ,Denied,$0.00 ,Deny,33.0,100.0,0.0,100.0
2005033080591,2005-03-22 00:00:00,2005-03-07 00:00:00,CLT,Charlotte/Douglas International Airport,USAir,Passenger Property Loss,Checked Baggage,Other,$100.00 ,Settled,$40.00 ,Settle,15.0,100.0,40.0,60.0
2007092832771,2007-09-26 00:00:00,2007-07-03 00:00:00,ILM,Wilmington International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),$349.95 ,Denied,$0.00 ,Deny,85.0,349.95,0.0,349.95
2005082591456,2005-08-18 00:00:00,2005-08-03 00:00:00,MCO,Orlando International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,$382.64 ,Denied,$0.00 ,Deny,15.0,382.64,0.0,382.64
2008021239471,2008-02-06 00:00:00,2008-01-21 00:00:00,PHX,Phoenix Sky Harbor International,USAir,Property Damage,Checked Baggage,Other,$161.06 ,Denied,$0.00 ,Deny,16.0,161.06,0.0,161.06
2008090349373,2008-08-27 00:00:00,2008-07-28 00:00:00,IAD,Washington Dulles International,UAL,Property Damage,Checkpoint,Computer - Laptop,$500.00 ,Denied,$0.00 ,Deny,30.0,500.0,0.0,500.0
1208509M,2003-12-08 00:00:00,2003-11-01 00:00:00,CVG,Cincinnati/Northern Kentucky International,American Airlines,Passenger Property Loss,Checked Baggage,Other,$20.00 ,Approved,$20.00 ,Approve in Full,37.0,20.0,20.0,0.0
2005072589608,2005-07-20 00:00:00,2005-05-08 00:00:00,MIA,Miami International Airport,American Airlines,Passenger Property Loss,Checkpoint,Currency,$200.00 ,Denied,$0.00 ,Deny,73.0,200.0,0.0,200.0
2007062927609,2007-06-25 00:00:00,2007-05-23 00:00:00,DCA,Ronald Reagan Washington National Airport,Northwest Airlines,Property Damage,Checkpoint,Medical Equipment & Insturments,$1;730.00 ,Approved,$1;730.00 ,Approve in Full,33.0,1730.0,1730.0,0.0
2009082863116,2009-08-26 00:00:00,2009-08-04 00:00:00,PDX,Portland International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,$10.00 ,Denied,$0.00 ,Deny,22.0,10.0,0.0,10.0
2004122169762,2004-10-28 00:00:00,2004-10-10 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Currency,$90.00 ,Denied,$0.00 ,Deny,18.0,90.0,0.0,90.0
2008080548019,2008-07-30 00:00:00,2008-06-28 00:00:00,OAK,Metropolitan Oakland International,Southwest Airlines,Passenger Property Loss,Checkpoint,Jewelry - Fine,$2;356.61 ,Denied,$0.00 ,Deny,32.0,2356.61,0.0,2356.61
2007072629076,2007-07-24 00:00:00,2007-07-08 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,$100.00 ,Settled,$49.28 ,Settle,16.0,100.0,49.28,50.72
2005082991750,2005-08-23 00:00:00,2005-07-19 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,$37.75 ,Denied,$0.00 ,Deny,35.0,37.75,0.0,37.75
2005041382404,2005-04-12 00:00:00,2005-03-13 00:00:00,TPA,Tampa International,Southwest Airlines,Passenger Property Loss,Checkpoint,Currency,$150.00 ,Approved,$150.00 ,Approve in Full,30.0,150.0,150.0,0.0
2006112216060,2006-11-16 00:00:00,2006-10-20 00:00:00,DCA,Ronald Reagan Washington National Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks; Luggage (all types including footlockers),$16.00 ,Approved,$16.00 ,Approve in Full,27.0,16.0,16.0,0.0
0223274M,2004-02-23 00:00:00,2003-12-16 00:00:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Computer - Laptop,$1;197.76 ,Denied,$1;197.76 ,Deny,69.0,1197.76,1197.76,0.0
2006031503126,2006-03-10 00:00:00,2006-03-06 00:00:00,OAK,Metropolitan Oakland International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,$45.00 ,Approved,$45.00 ,Approve in Full,4.0,45.0,45.0,0.0
2006110315138,2006-10-26 00:00:00,2006-09-26 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checkpoint,Computer - Laptop,$1;120.86 ,Denied,$0.00 ,Deny,30.0,1120.86,0.0,1120.86
2008062746271,2008-06-23 00:00:00,2008-06-07 00:00:00,EWR,Newark International Airport,Delta Air Lines,Property Damage,Checkpoint,Medicines,$82.00 ,Denied,$0.00 ,Deny,16.0,82.0,0.0,82.0
1222018M,2003-12-22 00:00:00,2003-11-18 00:00:00,AVL,Asheville Regional Airport,USAir,Property Damage,Checkpoint,Computer - Laptop,$241.90 ,Approved,$241.90 ,Approve in Full,34.0,241.9,241.9,0.0
2008123153973,2008-12-22 00:00:00,2008-12-11 00:00:00,KOA,Kona International,UAL,Passenger Property Loss,Checked Baggage,Currency,$100.00 ,Settled,$50.00 ,Settle,11.0,100.0,50.0,50.0
2006050105531,2006-04-24 00:00:00,2006-02-16 00:00:00,LAX,Los Angeles International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Computer - Laptop,$1;619.99 ,Denied,$0.00 ,Deny,67.0,1619.99,0.0,1619.99
2006092713354,2006-09-21 00:00:00,2006-08-12 00:00:00,ORD,Chicago O'Hare International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Alcoholic beverages; Cameras - Digital,$450.00 ,Denied,$0.00 ,Deny,40.0,450.0,0.0,450.0
2008102451524,2008-10-17 00:00:00,2008-04-15 00:00:00,MIA,Miami International Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),$158.95 ,Denied,$0.00 ,Deny,185.0,158.95,0.0,158.95
2007032322866,2007-03-19 00:00:00,2007-03-09 00:00:00,MSN,Dane County Regional (Madison),American Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Jewelry - Fine,$626.57 ,Denied,$0.00 ,Deny,10.0,626.57,0.0,626.57
2006091112296,2006-09-01 00:00:00,2006-07-30 00:00:00,MIA,Miami International Airport,British Airways,Passenger Property Loss,Checked Baggage,Video Recordings (blank & commercial),$759.67 ,Denied,$0.00 ,Deny,33.0,759.67,0.0,759.67
2008010237121,2007-12-26 00:00:00,2007-12-20 00:00:00,LAX,Los Angeles International Airport,USAir,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Medical Equipment & Insturments; Medicines; Other; Other; Other; Sporting Equipment & Supplies (footballs; parachutes; etc.),$619.95 ,Denied,$0.00 ,Deny,6.0,619.95,0.0,619.95
2006053107116,2006-05-30 00:00:00,2006-05-14 00:00:00,ORF,Norfolk International,Continental Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine; Luggage (all types including footlockers),$1;224.95 ,Denied,$0.00 ,Deny,16.0,1224.95,0.0,1224.95
2006051105943,2006-05-08 00:00:00,2006-04-03 00:00:00,AEX,Alexandria International Airport,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),$645.00 ,Settled,$292.96 ,Settle,35.0,645.0,292.96,352.04
2007031322142,2007-03-08 00:00:00,2007-02-26 00:00:00,LAS,McCarran International,Continental Airlines,Passenger Property Loss,Checkpoint,Other,$524.05 ,Settled,$174.05 ,Settle,10.0,524.05,174.05,349.99999999999994
2004092363676,2004-09-14 00:00:00,2003-01-13 00:00:00,SEA,Seattle-Tacoma International,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),$45.69 ,Approved,$45.69 ,Approve in Full,610.0,45.69,45.69,0.0
2006100513650,2006-09-29 00:00:00,2006-09-23 00:00:00,OAK,Metropolitan Oakland International,Jet Blue,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,$70.04 ,Approved,$70.04 ,Approve in Full,6.0,70.04,70.04,0.0
2008041142459,2008-04-04 00:00:00,2008-04-01 00:00:00,MCO,Orlando International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Watches - Expensive more than $100,$125.00 ,Denied,$0.00 ,Deny,3.0,125.0,0.0,125.0
2005102695197,2005-10-26 00:00:00,2004-09-23 00:00:00,TWF,Joslin Field Magic Valley,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,$21.52 ,Approved,$21.52 ,Approve in Full,398.0,21.52,21.52,0.0
2009072461723,2009-07-20 00:00:00,2009-07-05 00:00:00,OAK,Metropolitan Oakland International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Currency; Handbags & Purses (leather or fabric),$2;400.00 ,Denied,$0.00 ,Deny,15.0,2400.0,0.0,2400.0
2004122170139,2004-12-07 00:00:00,2004-11-23 00:00:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checked Baggage,Locks,$300.00 ,Denied,$0.00 ,Deny,14.0,300.0,0.0,300.0
2006050505708,2006-04-28 00:00:00,2006-04-08 00:00:00,BHM,Birmingham International Airport,UAL,Passenger Property Loss,Checked Baggage,Locks,$10.00 ,Approved,$10.00 ,Approve in Full,20.0,10.0,10.0,0.0
2007112035258,2007-11-19 00:00:00,2007-11-14 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,MP3 Players-(iPods; etc); Other,$567.92 ,Settled,$283.96 ,Settle,5.0,567.92,283.96,283.96
2009100864472,2009-10-07 00:00:00,2009-10-05 00:00:00,PHL,Philadelphia International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Computer - Laptop,$684.00 ,Denied,$0.00 ,Deny,2.0,684.0,0.0,684.0
2005082591481,2005-08-18 00:00:00,2005-07-31 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,$29.00 ,Approved,$29.00 ,Approve in Full,18.0,29.0,29.0,0.0
2009042057739,2009-03-31 00:00:00,2009-03-05 00:00:00,ORD,Chicago O'Hare International Airport,American Airlines,Property Damage,Checked Baggage,Dolls - Decorator,$748.80 ,Denied,$0.00 ,Deny,26.0,748.8,0.0,748.8
2006102614630,2006-10-19 00:00:00,2006-09-03 00:00:00,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checked Baggage,Luggage (all types including footlockers),$120.00 ,Settled,$50.00 ,Settle,46.0,120.0,50.0,70.0
2009111065271,2009-11-04 00:00:00,2009-10-08 00:00:00,TPA,Tampa International,AirTran Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,$250.00 ,Denied,$0.00 ,Deny,27.0,250.0,0.0,250.0
2007111935142,2007-11-13 00:00:00,2007-07-22 00:00:00,SEA,Seattle-Tacoma International,Air Tran Airlines(do not use),Property Damage,Checkpoint,Watches - Expensive more than $100,$429.45 ,Denied,$0.00 ,Deny,114.0,429.45,0.0,429.45
2006111315525,2006-11-07 00:00:00,2006-11-04 00:00:00,JFK,John F. Kennedy International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,$816.00 ,Denied,$0.00 ,Deny,3.0,816.0,0.0,816.0
2009061560146,2009-06-12 00:00:00,2009-05-31 00:00:00,ONT,Ontario International,Southwest Airlines,Property Damage,Checkpoint,Audio - Other (Phonograph; cassettes; etc),$200.00 ,Denied,$0.00 ,Deny,12.0,200.0,0.0,200.0
2005122798358,2005-12-15 00:00:00,2005-12-11 00:00:00,MIA,Miami International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,$443.20 ,Denied,$0.00 ,Deny,4.0,443.2,0.0,443.2
2008071747035,2008-07-11 00:00:00,2008-06-12 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,China Airlines,Passenger Property Loss,Checkpoint,Watches - Expensive more than $100,$9;771.77 ,Denied,$0.00 ,Deny,29.0,9771.77,0.0,9771.77
2006051005872,2006-05-03 00:00:00,2006-02-20 00:00:00,LAS,McCarran International,America West,Property Damage,Checked Baggage,Luggage (all types including footlockers),$60.00 ,Settled,$50.00 ,Settle,72.0,60.0,50.0,10.0
2004091663076,2004-08-11 00:00:00,2004-07-09 00:00:00,LGA,LaGuardia,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),$470.64 ,Settled,$181.32 ,Settle,33.0,470.64,181.32,289.32
2004082661393,2004-07-23 00:00:00,2004-07-18 00:00:00,LAX,Los Angeles International Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),$200.00 ,Denied,$0.00 ,Deny,5.0,200.0,0.0,200.0
2005032980374,2005-03-16 00:00:00,2005-03-01 00:00:00,RDU,Raleigh-Durham International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,$1;108.00 ,Settled,$135.00 ,Settle,15.0,1108.0,135.0,973.0
2007071228241,2007-07-02 00:00:00,2007-03-30 00:00:00,SFB,Orlando Sanford,Jet Blue,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Toys - Other (including games; toys; play dolls etc.),$128.00 ,Denied,$0.00 ,Deny,94.0,128.0,0.0,128.0
0203173M,2004-02-03 00:00:00,2003-12-28 00:00:00,PHX,Phoenix Sky Harbor International,America West,Property Damage,Checkpoint,Other,$195.56 ,Approved,$195.56 ,Approve in Full,37.0,195.56,195.56,0.0
0729066M,2003-07-29 00:00:00,2003-06-24 00:00:00,TPA,Tampa International,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,$30.00 ,Approved,$30.00 ,Approve in Full,35.0,30.0,30.0,0.0
2008040441851,2008-03-20 00:00:00,2008-03-10 00:00:00,PDX,Portland International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,$200.00 ,Denied,$0.00 ,Deny,10.0,200.0,0.0,200.0
2007110634532,2007-11-05 00:00:00,2007-10-30 00:00:00,SBP,San Luis Obispo,UAL,Property Damage,Checked Baggage,Bedding - Linens and bedspreads; Clothing - Shoes; belts; accessories; etc.; Other,$14.00 ,Denied,$0.00 ,Deny,6.0,14.0,0.0,14.0
2008112852905,2008-11-24 00:00:00,2008-11-02 00:00:00,RDU,Raleigh-Durham International,Continental Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,$1;698.00 ,Denied,$0.00 ,Deny,22.0,1698.0,0.0,1698.0
2007032322762,2007-03-19 00:00:00,2007-03-07 00:00:00,JAX,Jacksonville International,USAir,Property Damage,Checked Baggage,Luggage (all types including footlockers),$84.95 ,Denied,$0.00 ,Deny,12.0,84.95,0.0,84.95
2004070158217,2002-12-11 00:00:00,2002-09-25 00:00:00,PHX,Phoenix Sky Harbor International,America West,Passenger Theft,Checkpoint,Jewelry - Fine,$5;800.00 ,Denied,$0.00 ,Deny,77.0,5800.0,0.0,5800.0
2009120966322,2009-12-04 00:00:00,2009-11-25 00:00:00,SJU,Luis Munoz Marin International,American Airlines,Passenger Property Loss,Checked Baggage,Locks; Luggage (all types including footlockers),$40.00 ,Denied,$0.00 ,Deny,9.0,40.0,0.0,40.0
