Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,NewClaimAmount,NewCloseAmount,Amount Differences
2007041223868,2007-04-09 00:00:00,2006-11-29 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines,Passenger Property Loss,Checked Baggage,Boxes - Jewelry; Cigarette; Music; etc.; Jewelry - Costume,$533.00 ,Settled,$113.00 ,Settle,131.0,533.0,113.0,420.0
2009030455867,2009-02-11 00:00:00,2009-01-15 00:00:00,MCO,Orlando International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,$445.00 ,Denied,$0.00 ,Deny,27.0,445.0,0.0,445.0
2005110295527,2005-10-25 00:00:00,2005-10-10 00:00:00,IAD,Washington Dulles International,South African Airways,Property Damage,Checked Baggage,Other,$300.00 ,Denied,$0.00 ,Deny,15.0,300.0,0.0,300.0
2006111715818,2006-11-13 00:00:00,2006-11-01 00:00:00,MDW,Midway International Airport,Southwest Airlines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,$150.00 ,Denied,$0.00 ,Deny,12.0,150.0,0.0,150.0
0422014L,2003-04-22 00:00:00,2003-03-30 00:00:00,LAX,Los Angeles International Airport,UAL,Passenger Property Loss,Checked Baggage,Other,$2;012.50 ,Denied,$0.00 ,Deny,23.0,2012.5,0.0,2012.5
2006011799660,2006-01-10 00:00:00,2005-12-23 00:00:00,LAX,Los Angeles International Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),$125.00 ,Settled,$50.00 ,Settle,18.0,125.0,50.0,75.0
2007041123781,2007-04-09 00:00:00,2007-02-04 00:00:00,FLL,Ft. Lauderdale-Hollywood International,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),$26.99 ,Denied,$0.00 ,Deny,64.0,26.99,0.0,26.99
2004091663047,2004-08-03 00:00:00,2004-06-18 00:00:00,SBA,Santa Barbara Municipal,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,$45.00 ,Denied,$0.00 ,Deny,46.0,45.0,0.0,45.0
2009031056015,2009-02-13 00:00:00,2008-11-27 00:00:00,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checkpoint,Computer - Laptop,$818.23 ,Denied,$0.00 ,Deny,78.0,818.23,0.0,818.23
2008011037701,2008-01-07 00:00:00,2007-12-24 00:00:00,TUL,Tulsa International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks,$16.22 ,Denied,$0.00 ,Deny,14.0,16.22,0.0,16.22
2005042583174,2005-04-25 00:00:00,2005-03-21 00:00:00,LGA,LaGuardia,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,$1;042.00 ,Settled,$521.00 ,Settle,35.0,1042.0,521.0,521.0
2004122069576,2004-11-02 00:00:00,2004-09-13 00:00:00,SEA,Seattle-Tacoma International,Continental Airlines,Property Damage,Checked Baggage,Other,$70.55 ,Denied,$0.00 ,Deny,50.0,70.55,0.0,70.55
2009071461218,2009-07-08 00:00:00,2009-06-13 00:00:00,LAS,McCarran International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,$187.24 ,Denied,$0.00 ,Deny,25.0,187.24,0.0,187.24
2004051351839,2004-03-30 00:00:00,2004-03-07 00:00:00,JFK,John F. Kennedy International,American Airlines,Passenger Property Loss,Checked Baggage,Other,$20.00 ,Denied,$0.00 ,Deny,23.0,20.0,0.0,20.0
2006122617901,2006-12-21 00:00:00,2006-09-28 00:00:00,GTR,Golden Triangle Regional,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,$119.00 ,Denied,$0.00 ,Deny,84.0,119.0,0.0,119.0
2004080360404,2004-07-27 00:00:00,2004-06-21 00:00:00,MCO,Orlando International Airport,American Airlines,Employee Loss (MPCECA),Checked Baggage,Locks,$10.80 ,Denied,$0.00 ,Deny,36.0,10.8,0.0,10.8
2005022276619,2005-01-27 00:00:00,2005-01-08 00:00:00,ITO,Hilo International,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,$150.00 ,Settled,$50.00 ,Settle,19.0,150.0,50.0,100.0
2006062108417,2006-06-21 00:00:00,2006-05-16 00:00:00,AEX,Alexandria International Airport,Northwest Airlines,Property Damage,Checked Baggage,Other,$19.95 ,Approved,$19.95 ,Approve in Full,36.0,19.95,19.95,0.0
